"date","y"
"2021-12-17",10018
"2021-12-18",8304
"2021-12-19",8386
"2021-12-20",15450
"2021-12-21",14141
"2021-12-22",18900
"2021-12-23",25965
"2021-12-24",25184
"2021-12-25",19026
"2021-12-26",18174
"2021-12-27",22388
"2021-12-28",28085
"2021-12-29",55060
"2021-12-30",42954
"2021-12-31",42936
"2022-01-01",33012
"2022-01-02",29988
"2022-01-03",36321
"2022-01-04",49267
"2022-01-05",39919
"2022-01-06",41879
"2022-01-07",45491
"2022-01-08",29032
"2022-01-09",26272
"2022-01-10",58461
"2022-01-11",32851
"2022-01-12",34873
"2022-01-13",31587
"2022-01-14",40510
"2022-01-15",18147
"2022-01-16",15277
"2022-01-17",41407
"2022-01-18",20864
"2022-01-19",23472
"2022-01-20",22966
"2022-01-21",21193
"2022-01-22",13783
"2022-01-23",5268
"2022-01-24",19512
"2022-01-25",28967
"2022-01-26",7654
"2022-01-27",28400
"2022-01-28",16539
"2022-01-29",8436
"2022-01-30",7290
"2022-01-31",21281
"2022-02-01",11937
"2022-02-02",15352
"2022-02-03",13172
"2022-02-04",13098
"2022-02-05",6623
"2022-02-06",5403
"2022-02-07",16050
"2022-02-08",10040
"2022-02-09",10325
"2022-02-10",10381
"2022-02-11",7403
"2022-02-12",9844
"2022-02-13",3615
"2022-02-14",12189
"2022-02-15",6456
"2022-02-16",7756
"2022-02-17",7195
"2022-02-18",6747
"2022-02-19",3544
"2022-02-20",2448
"2022-02-21",3657
"2022-02-22",7991
"2022-02-23",9812
"2022-02-24",5761
"2022-02-25",8632
"2022-02-26",1812
"2022-02-27",3584
"2022-02-28",7919
"2022-03-01",5110
"2022-03-02",5913
"2022-03-03",8355
"2022-03-04",9503
"2022-03-05",3197
"2022-03-06",2613
"2022-03-07",8455
"2022-03-08",4153
"2022-03-09",6741
"2022-03-10",5607
"2022-03-11",8058
"2022-03-12",1824
"2022-03-13",1393
"2022-03-14",4522
"2022-03-15",9031
"2022-03-16",5290
"2022-03-17",4199
"2022-03-18",3340
"2022-03-19",3007
"2022-03-20",2253
"2022-03-21",8153
"2022-03-22",9466
"2022-03-23",6824
"2022-03-24",7053
"2022-03-25",8944
"2022-03-26",4374
"2022-03-27",3654
"2022-03-28",6150
"2022-03-29",10561
"2022-03-30",10976
"2022-03-31",8791
"2022-04-01",12470
"2022-04-02",7014
"2022-04-03",2581
"2022-04-04",560
"2022-04-05",8904
"2022-04-06",9552
"2022-04-07",6019
"2022-04-08",0
"2022-04-09",15567
"2022-04-10",0
"2022-04-11",132
"2022-04-12",0
"2022-04-13",63678
"2022-04-14",18945
"2022-04-15",NA
"2022-04-16",16687
"2022-04-17",1938
"2022-04-18",11974
"2022-04-19",7893
"2022-04-20",13433
"2022-04-21",10515
"2022-04-22",17290
"2022-04-23",4751
"2022-04-24",4657
"2022-04-25",3883
"2022-04-26",7590
"2022-04-27",13085
"2022-04-28",8497
"2022-04-29",12229
"2022-04-30",3456
"2022-05-01",2619
"2022-05-02",2666
"2022-05-03",5556
"2022-05-04",10798
"2022-05-05",7139
"2022-05-06",8970
"2022-05-07",2458
"2022-05-08",2144
"2022-05-09",2171
"2022-05-10",4388
"2022-05-11",8208
"2022-05-12",5485
"2022-05-13",7771
"2022-05-14",798
"2022-05-15",634
"2022-05-16",974
"2022-05-17",6328
"2022-05-18",6041
"2022-05-19",4430
"2022-05-20",5833
"2022-05-21",1383
"2022-05-22",1095
"2022-05-23",336
"2022-05-24",2055
"2022-05-25",4549
"2022-05-26",3787
"2022-05-27",5270
"2022-05-28",1190
"2022-05-29",980
"2022-05-30",914
"2022-05-31",2026
"2022-06-01",4512
"2022-06-02",3087
"2022-06-03",3500
"2022-06-04",1660
"2022-06-05",872
"2022-06-06",870
"2022-06-07",2936
"2022-06-08",3742
"2022-06-09",2314
"2022-06-10",4764
"2022-06-11",3918
"2022-06-12",1421
"2022-06-13",860
"2022-06-14",2417
"2022-06-15",2320
"2022-06-16",2774
"2022-06-17",1757
"2022-06-18",3480
"2022-06-19",0
"2022-06-20",1273
"2022-06-21",2430
"2022-06-22",2973
"2022-06-23",4768
"2022-06-24",2275
"2022-06-25",3479
"2022-06-26",682
"2022-06-27",873
"2022-06-28",3435
"2022-06-29",2619
"2022-06-30",6163
"2022-07-01",1429
"2022-07-02",4042
"2022-07-03",926
